,Code,자산총계,부채총계,자본총계,자본금,매출액,매출총이익,영업이익,당기순이익,영업현금흐름,투자현금흐름,재무현금흐름,FCF,EBITDA,EBIT,EV,매출총이익률,영업이익률,ROE,ROA,ROIC,부채비율,자기자본비율,이자보상배율,EPS,BPS,CPS,SPS,DPS,현금배당성향,현금배당수익률,PER,PBR,PCR,PSR,P/FCF,PEG,EV/EBITDA,EV/EBIT,EV/Sales,eDate,Name,Market,Close_x,Open,High,Low,Volume,Amount,Marcap,Stocks,Yield,MDD,Close_x,Date_x,Close_y,Date_y,Ratio,PBRc,PCRc,PERc,PSRc,PEGc,P/FCFc,EVc,EV/EBITDAc,Close_y,1y_rets,MOM_rank,PBR_rank,PSR_rank,PCR_rank,PER_rank,PEG_rank,DIV_rank,EV_rank,rank_tot
5,000080,3297783698.84,2223505552.75,1074278146.09,368842230.0,2256322945.85,975017836.0,198478557.06,86628492.35,382792589.96,-141056820.75,-116556042.98,231550966.16,358407690.92,166784773.74,3070582834.06,43.213,8.797,8.232,2.638,6.5552,206.977,32.576,4.28627,1216.46049,15387.69875,5371.13704,31659.4941,750.0,60.43427,2.354788,26.18252,2.06984,5.92984,1.00602,9.80303,0.29161000000000004,8.56729,18.41045,1.36088,2021-04-30,하이트진로,KOSPI,34850,35100,35150,34500,286774,9964332600,2444156343350,70133611,1.056060606060606,-0.3268817204301071,29000,2019-12-30,33000,2020-05-04,1.1379310344827587,2.355335172413793,6.747748965517242,29.79390206896552,1.1447813793103447,0.3318320689655173,11.155172068965518,3494111500.8268967,9.748985172413793,32450.0,1.5985221674876824,7.0,77.0,66.0,37.0,68.0,24.0,17.0,18.0,296.0
6,000100,2393522100.93,547019907.07,1846502193.85,68037750.0,1619865302.68,558422517.54,84255098.21,190401937.32,28830248.88,57594896.79,11687628.91,-22622696.44,144039791.18,235804496.13,5015233057.35,34.473,5.201,11.058,8.442,7.7411,29.625,77.146,31.06668,2709.07398,28119.42826,405.181574,22765.657584,382.18655,12.93864,0.508904,27.721645,2.67075,185.348996,3.298831,-236.207822,1.386051,34.81839,21.26861,3.09608,2021-04-30,유한양행,KOSPI,64300,64600,66000,64300,189676,12286160700,4499261263700,69972959,1.3872707659115404,-0.25883838383838387,236500,2019-12-30,46350,2020-05-04,0.1959830866807611,0.5234218287526426,36.32526834926004,5.432973554968287,0.6465150818181817,0.2716425532769556,-46.292738053699786,982900855.0028436,6.823815545454545,47150.0,0.19012096774193565,96.0,2.0,36.0,82.0,3.0,22.0,57.0,40.0,298.0
11,000210,13901859840.26,10690535919.84,3211323920.41,218500000.0,1566148811.68,314349585.79,119049765.68,572657162.96,1366185205.57,-1475144249.82,368863111.47,935938158.34,308944765.68,99557467.37,4298030540.69,20.072,7.601,11.84,4.188,,332.901,23.1,1.76755,13082.2835,67177.76657,35393.39911,40573.80341,1300.0,9.974730000000001,1.566265,6.34446,1.23553,2.34507,2.04565,3.42309,6.50897,13.91197,43.17135,2.74433,2021-04-30,DL,KOSPI,94600,98300,99200,94500,280864,26986910800,1460743385200,15441262,1.1438935912938335,-0.37371663244353226,90500,2019-12-30,82700,2020-05-04,0.9138121546961326,1.1290423314917128,2.14295346961326,5.7976446629834255,1.8693398342541439,5.947975900552486,3.128061248618785,3927592549.3377123,12.712927281767957,88100.0,0.910123966942147,43.0,36.0,75.0,1.0,4.0,84.0,31.0,14.0,274.0
15,000270,60490443000.0,30598771000.0,29891672000.0,2139317000.0,59168096000.0,9945532000.0,2066457000.0,1487585000.0,5423896000.0,-2864853000.0,3517283000.0,3761998000.0,4285979000.0,1905749000.0,21006260852.8,16.809,3.493,5.054,2.568,9.5391,102.366,49.416,8.81128,3669.75705,74555.60281,13380.3316,145963.11294,1000.0,26.9518,1.602564,17.00385,0.83696,4.66356,0.42751000000000006,6.72373,1.10427,4.90116,11.02257,0.35503,2021-04-30,기아,KOSPI,77000,78900,79000,77000,3165897,245612841900,31212977719000,405363347,2.68292682926829,-0.26108374384236444,44300,2019-12-30,28700,2020-05-04,0.6478555304740407,0.542229164785553,3.021313137697517,11.016038261851016,0.2769647178329572,0.715407426636569,4.356005665914221,13609022268.066816,3.175243611738149,29650.0,0.6603563474387515,86.0,3.0,15.0,10.0,34.0,43.0,29.0,7.0,220.0
19,000390,594292974.0,301977867.0,292315107.0,13407369.0,551718833.0,105802289.0,15020454.0,6482791.0,33500445.0,-33915665.0,9049065.0,18314799.0,31108462.0,13377619.0,452099430.1,19.177,2.722,2.29,1.123,2.9234,103.306,49.187,2.99325,247.66226,12627.81965,1266.49498,20857.90599,150.0,52.81203,1.06383,56.93237,1.11658,11.13309,0.676,20.36405,1.17092,14.533,33.79521,0.8194400000000001,2021-04-30,삼화페인트,KOSPI,13150,13050,13450,12600,276977,3622275400,356887620450,27139743,2.609126984126989,-0.41091954022988475,5140,2019-12-30,5040,2020-05-04,0.980544747081712,1.0948566536964979,10.916492918287936,55.82473634241245,0.6628482490272374,1.1481394552529183,19.967862256809337,443303721.34319067,14.25025680933852,5050.0,0.8211382113821123,56.0,33.0,37.0,57.0,79.0,54.0,41.0,53.0,357.0
25,000520,191660926.98,128109718.23,63551208.75,6694896.0,122998992.15,49032228.67,6538397.86,1340563.62,7774731.59,-4588929.68,-3323060.31,-9244780.06,10737797.86,6543216.28,215120216.98,39.864,5.316,2.1310000000000002,0.714,4.7747,201.585,33.158,1.18763,102.14931,5077.90166,592.42505,9372.372925,75.0,70.01861,0.728155,100.83279,2.0284,17.38617,1.09897,-14.62152,2.34656,20.03392,32.87683,1.74896,2021-04-30,삼일제약,KOSPI,9700,10200,10650,9680,868363,8736777170,130085361400,13410862,0.5359116022099444,-0.6240310077519384,21050,2019-12-30,18100,2020-05-04,0.8598574821852731,1.744134916864608,14.94962836104513,86.7018289311164,0.9449575771971496,2.0177071733966745,-12.572423372921616,184972728.13957244,17.226316009501186,17850.0,0.5166425470332844,92.0,63.0,61.0,64.0,87.0,72.0,51.0,72.0,490.0
41,000910,354433760.16,178419689.28,176014070.88,7805809.5,189192653.01,33123935.59,7813211.28,15437191.49,15846024.76,-12329301.14,7485909.3,-1476579.24,12931513.34,24360135.22,175431859.68,17.508,4.13,12.932,4.543,4.941,101.367,49.661,2.86974,928.78654,8009.28242,1015.01483,12118.70806,125.0,13.45842,2.10084,6.40621,0.74289,5.86198,0.49098,-62.90833,0.15191000000000002,13.566230000000001,7.2016,0.9272600000000001,2021-04-30,유니온,KOSPI,8500,8670,8820,8500,530514,4590011910,132698761500,15611619,2.1794871794871833,-0.4437810945273627,4005,2019-12-30,3900,2020-05-04,0.9737827715355806,0.7234134831460675,5.7082951310861425,6.238256928838951,0.47810786516853937,0.14792734082397005,-61.25904794007491,170832522.53483146,13.21056104868914,3000.0,0.7117437722419921,77.0,15.0,30.0,30.0,8.0,10.0,22.0,75.0,192.0
44,000990,1178581197.18,383996684.6,794584512.58,222555835.0,935919766.48,358884822.82,239335181.31,166025591.08,309982629.77,-265310217.82,-75974561.56,152238258.24,351461181.31,214139337.13,2237296106.53,38.346,25.572,23.071,14.644,24.0114,48.327,67.419,36.79333,3729.97614,18293.61564,6964.15418,21026.62836,350.0,9.15967,0.686275,13.67301,2.7878600000000002,7.32322,2.4255,14.91129,0.9334800000000001,6.3657,10.44785,2.39048,2021-04-30,DB하이텍,KOSPI,55300,57400,57800,54100,864831,48017698000,2455241916400,44398588,2.1728880157170933,-0.2973352033660589,27600,2019-12-30,25450,2020-05-04,0.9221014492753623,2.5706897463768117,6.752751775362319,12.60790233695652,2.2365570652173914,0.8607632608695653,13.749722119565217,2063013982.2894385,5.869821195652174,26750.0,1.6310975609756098,5.0,79.0,77.0,38.0,37.0,46.0,52.0,26.0,334.0
59,001290,513283837.01,339958014.92,173325822.09,97411913.0,36449100.46,26729402.82,2885083.87,2499591.75,29403118.22,617139.68,-30136977.48,,6042614.62,2903632.42,212067522.22,73.334,7.915,1.54,0.509,,196.138,33.768,,26.06736,1838.38635,305.93691,379.24975,0.0,0.0,0.0,40.66388,0.57659,3.46477,2.7949900000000003,,1.24465,35.09532,73.03525,5.81818,2021-04-30,상상인증권,KOSPI,1315,1350,1385,1315,626050,839340720,127416217530,96894462,1.0958333333333328,-0.2480620155038754,1330,2019-12-30,1200,2020-05-04,0.9022556390977443,0.5202315789473685,3.1261082706766916,36.68921503759398,2.521795488721805,1.1229924812030074,,191339117.79248118,31.66495037593985,1160.0,0.4603174603174601,93.0,1.0,78.0,12.0,71.0,53.0,82.0,70.0,390.0
78,001630,1258451806.0,418150785.22,840301020.77,12524652.5,858118780.74,413895539.17,89262180.33,113621663.1,66553214.34,-120421539.85,52319730.37,-48368984.1,119608451.33,146214008.46,751395340.72,48.233,10.402,15.593,9.739,13.423,49.762,66.773,25.64941,15704.15333,108137.90249,13284.44329,171285.94601,1400.0,8.88871,1.098039,8.11887,1.17905,9.59769,0.7443700000000001,-13.20593,0.45363000000000003,6.28212,5.13901,0.87563,2021-04-30,종근당홀딩스,KOSPI,108000,109500,116500,108000,153891,17226673500,541064988000,5009861,0.9773755656108601,-0.3007194244604313,101000,2019-12-30,110500,2020-05-04,1.0940594059405941,1.2899507425742573,10.500443019801981,8.88252608910891,0.8143850000000001,0.49629816831683177,-14.448071930693072,822071140.0946536,6.873012475247525,114000.0,1.4824447334200257,10.0,47.0,54.0,55.0,21.0,33.0,40.0,41.0,260.0
79,001680,2528335046.89,1426785228.48,1101549818.41,36018248.0,3113203668.12,847089311.77,174391508.08,127010738.54,121067525.18,129795649.6,31577317.84,17250731.87,279484508.08,206977240.45,1261135035.1,27.21,5.602,12.024,5.165,8.4028,129.525,43.568,8.37693,3473.29242,30083.01026,3361.28301,86434.0672,700.0,20.16474,2.6871400000000003,7.50009,0.86594,7.75002,0.30139000000000005,54.39047,0.22476000000000002,4.51236,6.09311,0.40509,2021-04-30,대상,KOSPI,25850,26200,26250,25800,220622,5731808300,895651446250,34648025,1.202325581395349,-0.18057921635434393,23200,2019-12-30,21500,2020-05-04,0.9267241379310345,0.8024875,7.182130603448276,6.950514439655173,0.27930538793103454,0.2082905172413793,50.40496142241379,1168724278.2176723,4.1817129310344825,21900.0,0.8439306358381496,51.0,23.0,16.0,39.0,11.0,19.0,12.0,36.0,171.0
93,002100,371525656.35,160153422.9,211372233.45,10845875.0,248295523.8,80611234.23,14281976.63,13294935.51,15868144.17,6834073.54,-20879610.26,12675324.71,21548709.97,20259675.49,327808835.69,32.466,5.752,6.695,3.582,3.7719,75.768,56.893,5.09628,581.42103,10789.43027,731.529,11446.54183,250.0,35.4119,2.083333,20.63909,1.1122,16.404,1.0483500000000001,20.53604,2.75532,15.21246,16.18036,1.32024,2021-04-30,경농,KOSPI,14600,14400,14650,14250,170379,2467884950,316699550000,21691750,1.154150197628458,-0.39622641509433976,11350,2019-12-30,12650,2020-05-04,1.1145374449339207,1.2395885462555067,18.282872246696034,23.003038634361232,1.168425330396476,3.0709073127753306,22.888185550660793,365355222.156696,16.95485629955947,12050.0,0.8114478114478102,60.0,44.0,67.0,66.0,59.0,77.0,23.0,58.0,396.0
95,002150,451680724.37,194845012.56,256835711.81,16860000.0,574922988.73,574922988.73,24010625.91,17838645.78,22702661.7,-32275422.02,11392571.91,-10181987.46,28462277.91,23597410.17,226750263.58,100.0,4.176,7.004,4.145,11.121,75.864,56.862,99.70362,529.02272,7616.90853,673.26992,17049.9107,280.0,52.26387,3.435583,15.40577,1.06999,12.1051,0.47801000000000005,-26.9906,1.0236,7.96669,9.60912,0.39440000000000003,2021-04-30,도화엔지니어링,KOSPI,9240,9300,9360,9060,224646,2062107780,311572800000,33720000,1.0120481927710854,-0.24948240165631397,8930,2019-12-30,9130,2020-05-04,1.0223964165733483,1.093953941769317,12.37621086226204,15.750804042553193,0.4887157110862263,1.0465249720044794,-27.595092721164615,231828656.94125423,8.145115307950729,9020.0,0.9204081632653069,41.0,32.0,31.0,59.0,48.0,52.0,6.0,67.0,269.0
107,002410,158124589.89,76477865.89,81646724.0,24831982.0,144357123.69,22161230.14,12006624.98,10968238.01,10907038.33,-7682577.01,14048439.74,1134081.88,13417450.98,11549662.94,133922455.98,15.352,8.317,14.51,7.396,21.9787,93.669,51.634,7.34847,441.69938,3269.53559,439.23483,5813.37244,0.0,0.0,0.0,10.99164,1.48492,11.05331,0.8351400000000001,106.30529,0.09819000000000001,9.98121,11.59536,0.92771,2021-04-30,범양건영,KOSPI,4000,4105,4115,4000,233202,940275230,99327928000,24831982,1.3698630136986307,-0.48680738786279687,3270,2019-12-30,2920,2020-05-04,0.8929663608562691,1.3259836085626913,9.870234006116208,9.815164770642202,0.7457519266055047,0.08768036697247708,94.92704795107034,119588248.1533945,8.912884770642203,2940.0,1.500000000000001,8.0,50.0,45.0,53.0,26.0,4.0,82.0,84.0,268.0
126,002900,656859440.05,486125601.89,170733838.17,67477245.0,713300783.4,125070729.08,29086927.86,6416878.43,55636850.63,-12667957.2,-15143075.71,40383475.96,45680186.86,17363218.18,314554110.53,17.534,4.078,2.982,0.998,8.1445,284.727,25.992,2.36013,28.03156,961.06817,441.20366,5656.51925,0.0,0.0,0.0,56.18666,1.6388,3.56978,0.27844,4.91813,2.00387,6.88601,18.11612,0.44098000000000004,2021-04-30,TYM,KOSPI,1650,1645,1665,1625,1622284,2664657330,225847982250,136877565,1.6336633663366298,-0.19945355191256975,1290,2019-12-30,1010,2020-05-04,0.7829457364341085,1.283091472868217,2.794944031007752,43.99110589147287,0.2180034108527132,1.568921472868217,3.8506289147286816,246278799.7172868,5.391372170542635,1010.0,0.5754985754985759,91.0,46.0,9.0,7.0,74.0,62.0,82.0,65.0,371.0
131,003010,207882894.06,109699110.5,98183783.55,6356373.5,217540949.89,34176144.24,8819184.38,4815521.11,19184941.0,-771997.59,-22172311.99,18612975.4,14101702.62,10062664.85,105918361.44,15.71,4.054,4.97,2.26,4.2356,111.728,47.23,2.78477,413.14518,9975.15301,1509.11058,17112.03329,120.0,24.55726,2.312139,12.56217,0.52029,3.43911,0.3033,3.54479,0.33066,7.51103,10.52587,0.48689000000000004,2021-04-30,혜인,KOSPI,7450,7490,7630,7420,304003,2285698890,94709965150,12712747,1.6301969365426736,-0.2691693290734827,4315,2019-12-30,4570,2020-05-04,1.05909617612978,0.5510371494785632,3.6423482502896873,13.304546210892237,0.32122387022016224,0.35020074159907305,3.754273534183082,112177731.58303593,7.954903151796061,4355.0,0.8806875631951464,46.0,4.0,19.0,16.0,41.0,26.0,19.0,88.0,171.0
133,003060,615309133.79,16952930.07,598356203.72,199287883.5,53319976.2,23200975.67,-2605967.4,18917569.96,8088157.75,-195268467.27,221703837.08,7111867.27,-673920.4,7517039.78,322023148.0,43.513,-4.8870000000000005,2.9939999999999998,3.858,-2.808,2.833,97.245,-53.12013,34.59482,1268.01913,24.86551,163.9222,0.0,0.0,0.0,38.01147,1.03705,52.88449,8.0221,60.14427,1.22321,-477.83558,42.83909,6.03944,2021-04-30,에이프로젠제약,KOSPI,1190,1220,1230,1185,2159910,2591660700,474305162730,398575767,0.5920398009950247,-0.55,1355,2019-12-30,2010,2020-05-04,1.4833948339483394,1.5383546125461254,78.44857926199262,56.38601822878229,11.899941697416974,1.8145033948339482,89.21769940959409,477687474.1549815,-708.8188308487084,2100.0,0.795454545454546,62.0,55.0,92.0,90.0,80.0,70.0,82.0,49.0,531.0
136,003090,1837532868.39,720614938.07,1116917930.33,29070990.0,1355337386.75,626457189.0,98055318.02,118379527.22,145365812.64,-30786823.19,16270597.64,113740765.65,148903883.02,150284184.38,2993994494.01,46.221,7.235,15.102,6.748,6.7965,64.518,60.784,9.33351,1692.0458,16494.66394,2500.18683,23310.82269,100.0,4.22332,0.19880699999999998,29.72733,3.04947,20.1185,2.1578,25.71234,2.11022,20.10689,19.92222,2.20904,2021-04-30,대웅,KOSPI,36300,37700,38250,36200,634894,23345342900,2110553874000,58141980,2.220183486238532,-0.6061776061776062,12950,2019-12-30,16350,2020-05-04,1.2625482625482625,3.85010305019305,25.40057722007722,37.53218884169884,2.7243266409266407,2.6642545945945946,32.46307019305019,3780062546.49139,25.385919034749033,17400.0,0.8149882903981243,59.0,85.0,80.0,74.0,73.0,75.0,63.0,16.0,509.0
163,003720,108988416.83,63239099.92,45749316.91,17000000.0,117657776.92,15850525.85,1317049.49,1150858.14,10777287.1,-7400742.64,-980071.13,2818156.62,8227926.49,1079120.76,117384300.68,13.472,1.119,0.489,1.066,2.2324,138.23,41.976,2.7047,6.3154900000000005,1297.88957,316.97903,3460.52285,0.0,0.0,0.0,410.8942,1.9994,8.18666,0.7498900000000001,31.3077,15.68195,14.26657,108.77772,0.9976700000000001,2021-04-30,삼영화학,KOSPI,2930,2980,3020,2850,301507,881004265,99620000000,34000000,2.4115226337448545,-0.25685425685425656,998,2019-12-30,1215,2020-05-04,1.217434869739479,2.4341392785571143,9.966725350701402,500.2369268537075,0.912942234468938,19.091752755511024,38.11508567134269,142907740.80781564,17.36861978957916,1205.0,1.2221095334685614,14.0,78.0,57.0,54.0,94.0,93.0,82.0,80.0,472.0
164,003780,70722583.81,27292881.21,43429702.6,6500000.0,64314340.75,14517914.71,7890467.52,5136548.71,8143104.45,-7649651.89,1410914.23,7133246.57,9941737.12,7066495.3,64526906.27,22.573,12.269,12.159,8.202,13.9198,62.844,61.409,76.24396,395.11913,3340.74635,626.39265,4947.25698,180.0,45.55588,3.557312,12.80626,1.51463,8.078,1.02279,9.22161,0.28087,6.4905100000000004,9.13139,1.0033,2021-04-30,진양산업,KOSPI,5510,5610,5610,5490,182645,1009109500,71630000000,13000000,1.7947882736156389,-0.4284210526315787,3990,2019-12-30,3070,2020-05-04,0.7694235588972431,1.1653920050125313,6.21540350877193,9.853438145363409,0.7869587218045113,0.2161079949874687,7.095323984962406,49648521.86689223,4.993951303258146,3065.0,0.8455172413793087,50.0,38.0,52.0,34.0,27.0,20.0,4.0,94.0,225.0
169,004000,1874589381.75,224889055.6,1649700326.15,129000000.0,1263635638.07,234061682.62,139232923.69,198791787.65,253112488.59,-125127596.87,-129574298.37,75729158.89,245815730.69,254987425.28,1283742198.58,18.523,11.018,12.651,10.841,12.0084,13.632,88.003,140.95297,7705.10805,64770.33083,9810.56157,48978.12551,1500.0,19.2186,2.717391,7.16408,0.8522400000000001,5.62659,1.12703,18.80597,0.23408,5.22238,5.03453,1.01591,2021-04-30,롯데정밀화학,KOSPI,68000,69800,69900,66800,289044,19655534100,1754400000000,25800000,1.808510638297871,-0.20134228187919445,45150,2019-12-30,37600,2020-05-04,0.832779623477298,0.7097281063122924,4.68570950166113,5.966099844961241,0.9385676190476191,0.19493705426356592,15.66122861572536,1069074344.775371,4.349091650055372,39000.0,0.816753926701571,58.0,14.0,60.0,26.0,6.0,17.0,11.0,39.0,192.0
175,004140,526822001.0,410051935.0,116770066.0,44274655.0,592054485.0,72498396.0,24590388.0,13396837.0,21944122.0,13126890.0,-58970128.0,90776.0,60988814.0,30228313.0,351416345.82,12.245,4.153,12.868,2.319,7.119,351.162,22.165,1.55287,361.001646,2772.05781,604.381794,16306.277873,0.0,0.0,0.0,6.119669,0.7969600000000001,3.655323,0.135487,883.63445,0.121946,5.76198,11.6254,0.59355,2021-04-30,동방,KOSPI,6800,7110,7530,6760,13494320,96673432090,271808008800,39971766,2.9310344827586188,-0.5266409266409268,1555,2019-12-30,2320,2020-05-04,1.4919614147909968,1.189033569131833,5.453600874598071,9.130310019292605,0.20214137620578776,0.18193872668810288,1318.3485041800643,524299628.4902894,8.596651832797429,2175.0,0.9977064220183491,31.0,41.0,6.0,29.0,23.0,13.0,82.0,48.0,225.0
179,004310,157501805.8,67361025.57,90140780.23,16000000.0,132965511.61,58321558.56,3052874.48,2187063.54,10804339.34,-12388137.33,7451621.54,10192428.4,7165235.77,3250093.8,212098024.25,43.862,2.296,2.52,1.439,4.527,74.729,57.232,4.9715300000000004,68.34574,3233.35999,337.6356,4155.17224,42.5,54.17447,0.655864,94.81206,2.00411,19.19229,1.5594999999999999,20.34451,2.00315,29.60098,65.25905,1.5951300000000002,2021-04-30,현대약품,KOSPI,6840,7200,7200,6820,667636,4655067670,218880000000,32000000,1.4869565217391305,-0.3104838709677423,5230,2019-12-30,4600,2020-05-04,0.8795411089866156,1.7626971319311662,16.880408030592733,83.39110439770555,1.371644359464627,1.7618527724665394,17.89383288718929,186548931.4627151,26.035278776290628,4640.0,0.9326633165829151,38.0,65.0,69.0,65.0,86.0,69.0,55.0,71.0,447.0
